dCoilTurns,dCoilOuter,dCoilInner,dShieldThickness,dShieldExtra,gCoilInterval,gCoilLength,gShieldThickness,gShieldExtra,mResRx,mResTx,mIndRx,mIndMutNormal,mIndTx,mIndMutMisaligned,eIndMutNormal,eIndMutMisaligned,eNormalK,eResEq,pDimension,pDimensionPenalty,pThickness,pThicknessPenalty,pNormalIndMutPenalty,pMisalignedIndMutPenalty,pNormalKPenalty,pResistancePenalty,目标函数
15,395,210,15.5,34,0.006607142857142857,0.105,0.0155,0.034,0.0160339643,0.01603396853,182698.895439029,-33593.8041601785,182692.96760861,-12619.866297125,33.5938041601785,12.619866297125,0.18387822807219675,0.01603396641499986,0.463,1.369993968573427,0.022,1.0799999999971672,-1.7604559269640668e-65,1.261986629707214,1.0892074345751077,1.4266289262055558,-6.2278169590584715
11,440,255,3,21,0.00925,0.1275,0.003,0.021,0.01352591782,0.01352571503,114984.877475878,-22817.3149269531,114967.997114872,-9912.86267455638,22.8173149269531,9.91286267455638,0.19845209614395506,0.013525816424619952,0.482,1.1770823046751713,0.0095,1.205,1.1508399847745387,0.29239835887437915,1.1295034038980627,1.4294157595282,-6.384239811750352
10,465,250,20.5,13,0.011944444444444445,0.125,0.0205,0.013,0.01267350372,0.01267358038,93354.1700726717,-20789.2485327437,93328.5201980648,-9695.26059187294,20.7892485327437,9.695260591872941,0.2227228319757629,0.012673542049942038,0.49100000000000005,1.0383057982364507,0.027,1.0299532401952365,0.00031286922242034003,0.04394872471218597,1.1452798289696713,1.43036273105562,-4.688163192391586
11,450,260,8,14,0.0095,0.13,0.008,0.014,0.01381810324,0.01381791163,116118.191392336,-23657.3974115592,116116.220433907,-10619.9274333377,23.6573974115592,10.6199274333377,0.20373722590355456,0.013818007434667877,0.47800000000000004,1.2192033822881854,0.014499999999999999,1.155,1.1958578626369452,1.059840309557214,1.1354861221962713,1.429091102850369,-7.194478779528985
12,460,220,13,1,0.010909090909090908,0.11,0.013,0.001,0.01445768748,0.01445749053,113278.956076614,-23994.9717558891,113269.318050959,-10681.2881040508,23.9949717558891,10.6812881040508,0.21183098277845536,0.01445758900466463,0.462,1.3799956467432815,0.0195,1.1049999999999993,1.199944642315971,1.066955670698886,1.1411533798815896,1.4283804566614837,-7.321429796301211
14,485,265,18,32,0.008461538461538461,0.1325,0.018,0.032,0.01855435378,0.01855421515,203648.894012188,-50496.9721560641,203644.831473951,-24567.9094289658,50.496972156064096,24.567909428965798,0.24796341803843763,0.018554284464870528,0.5489999999999999,4.1123834559874516e-8,0.024499999999999997,1.0549999884870411,0,2.4567909428965797,1.1486161688430727,1.4238285728168105,-6.084235714167338
13,425,240,11,7,0.007708333333333333,0.12,0.011,0.007,0.01528020526,0.01527991971,146643.054409035,-27055.8693386184,146666.2944815,-11324.5389483864,27.0558693386184,11.324538948386401,0.1844869215787906,0.015280062484332963,0.439,1.6099999976222215,0.017499999999999998,1.125,0.0017518797709866166,1.132451892118809,1.0921080165441244,1.42746659723963,-6.388778383295771
11,430,260,20.5,28,0.0085,0.13,0.0205,0.028,0.01342165164,0.0134216272,121712.472578599,-24666.9353572708,121707.747733825,-10813.0252051096,24.6669353572708,10.8130252051096,0.20266956730429464,0.013421639419994438,0.486,1.129379806346624,0.027,1.0299532401952365,1.1844390623333005,1.0809841771956785,1.134464166699498,1.4295315117555618,-6.9887519645259
15,460,205,17.5,27,0.009107142857142857,0.1025,0.0175,0.027,0.01764948532,0.01764969237,181618.406408536,-42283.7134311707,181615.113089086,-18663.2405781348,42.283713431170696,18.6632405781348,0.2328183450216272,0.017649588844696383,0.514,0.008011725036757318,0.024,1.059999997815177,-2.032372453998352e-247,1.86632405781348,1.1472787915775846,1.4248337901725596,-5.506448362415559
12,440,255,7,2,0.008409090909090908,0.1275,0.007,0.002,0.01474521976,0.01474516598,128730.010707864,-24175.1453005055,128721.066996471,-10614.7384588007,24.175145300505502,10.614738458800701,0.18780379970175656,0.014745192869975481,0.444,1.5599999878018418,0.0135,1.165,1.1988774591696283,1.0592081266043565,1.1055063287824327,1.4280608968111383,-7.516652799169397
